file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/mayureshbhangale/Documents/mongo/mangoSource/src/com/serotonin/mango/web/dwr/beans/RenderedPointValueTime.java,com.serotonin.mango.web.dwr.beans.RenderedPointValueTime,getValue/0,false,39,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/mayureshbhangale/Documents/mongo/mangoSource/src/com/serotonin/mango/web/dwr/beans/RenderedPointValueTime.java,com.serotonin.mango.web.dwr.beans.RenderedPointValueTime,setAnnotation/1[java.lang.String],false,59,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/Users/mayureshbhangale/Documents/mongo/mangoSource/src/com/serotonin/mango/web/dwr/beans/RenderedPointValueTime.java,com.serotonin.mango.web.dwr.beans.RenderedPointValueTime,setTime/1[java.lang.String],false,51,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/Users/mayureshbhangale/Documents/mongo/mangoSource/src/com/serotonin/mango/web/dwr/beans/RenderedPointValueTime.java,com.serotonin.mango.web.dwr.beans.RenderedPointValueTime,"RenderedPointValueTime/3[java.lang.String,java.lang.String,java.lang.String]",true,33,0,0,0,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,1,0,false
/Users/mayureshbhangale/Documents/mongo/mangoSource/src/com/serotonin/mango/web/dwr/beans/RenderedPointValueTime.java,com.serotonin.mango.web.dwr.beans.RenderedPointValueTime,getTime/0,false,47,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/mayureshbhangale/Documents/mongo/mangoSource/src/com/serotonin/mango/web/dwr/beans/RenderedPointValueTime.java,com.serotonin.mango.web.dwr.beans.RenderedPointValueTime,setValue/1[java.lang.String],false,43,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/Users/mayureshbhangale/Documents/mongo/mangoSource/src/com/serotonin/mango/web/dwr/beans/RenderedPointValueTime.java,com.serotonin.mango.web.dwr.beans.RenderedPointValueTime,getAnnotation/0,false,55,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/mayureshbhangale/Documents/mongo/mangoSource/src/com/serotonin/mango/web/dwr/beans/RenderedPointValueTime.java,com.serotonin.mango.web.dwr.beans.RenderedPointValueTime,RenderedPointValueTime/0,true,29,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/mayureshbhangale/Documents/mongo/mangoSource/src/com/serotonin/mango/rt/event/detectors/AnalogHighLimitDetectorRT.java,com.serotonin.mango.rt.event.detectors.AnalogHighLimitDetectorRT,getConditionActiveTime/0,false,106,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,false
/Users/mayureshbhangale/Documents/mongo/mangoSource/src/com/serotonin/mango/rt/event/detectors/AnalogHighLimitDetectorRT.java,com.serotonin.mango.rt.event.detectors.AnalogHighLimitDetectorRT,getMessage/0,false,59,2,2,0,2,2,6,7,2,3,0,6,0,0,0,1,0,0,2,0,3,0,1,0,0,0,10,1,0,false
/Users/mayureshbhangale/Documents/mongo/mangoSource/src/com/serotonin/mango/rt/event/detectors/AnalogHighLimitDetectorRT.java,com.serotonin.mango.rt.event.detectors.AnalogHighLimitDetectorRT,"pointChanged/2[com.serotonin.mango.rt.event.detectors.PointValueTime,com.serotonin.mango.rt.event.detectors.PointValueTime]",false,89,2,1,0,1,4,4,15,0,1,2,4,1,1,0,0,0,0,0,0,3,0,2,0,0,0,13,33,0,false
/Users/mayureshbhangale/Documents/mongo/mangoSource/src/com/serotonin/mango/rt/event/detectors/AnalogHighLimitDetectorRT.java,com.serotonin.mango.rt.event.detectors.AnalogHighLimitDetectorRT,isEventActive/0,false,68,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/mayureshbhangale/Documents/mongo/mangoSource/src/com/serotonin/mango/rt/event/detectors/AnalogHighLimitDetectorRT.java,com.serotonin.mango.rt.event.detectors.AnalogHighLimitDetectorRT,setEventActive/1[boolean],false,118,2,4,0,4,3,4,8,0,0,1,4,0,0,0,0,0,0,0,0,2,1,2,0,0,0,50,33,0,true
/Users/mayureshbhangale/Documents/mongo/mangoSource/src/com/serotonin/mango/rt/event/detectors/AnalogHighLimitDetectorRT.java,com.serotonin.mango.rt.event.detectors.AnalogHighLimitDetectorRT,AnalogHighLimitDetectorRT/1[com.serotonin.mango.rt.event.detectors.PointEventDetectorVO],true,54,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,false
/Users/mayureshbhangale/Documents/mongo/mangoSource/src/com/serotonin/mango/rt/event/detectors/AnalogHighLimitDetectorRT.java,com.serotonin.mango.rt.event.detectors.AnalogHighLimitDetectorRT,changeHighLimitActive/0,false,78,1,3,1,2,2,2,5,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,35,2,0,true
/Users/mayureshbhangale/Documents/mongo/mangoSource/src/com/serotonin/mango/view/custom/CustomViewChart.java,com.serotonin.mango.view.custom.CustomViewChart,"CustomViewChart/5[long,int,int,int,java.util.List<com.serotonin.mango.view.custom.CustomViewChartPoint>]",true,40,1,1,1,0,1,0,7,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,1,0,false
/Users/mayureshbhangale/Documents/mongo/mangoSource/src/com/serotonin/mango/view/custom/CustomViewChart.java,com.serotonin.mango.view.custom.CustomViewChart,"createStateImpl/3[com.serotonin.mango.rt.RuntimeManager,javax.servlet.http.HttpServletRequest,com.serotonin.mango.view.custom.CustomComponentState]",false,49,6,4,0,4,7,15,26,0,4,3,15,0,0,2,2,0,0,6,1,5,0,3,0,0,0,29,4,0,false
/Users/mayureshbhangale/Documents/mongo/mangoSource/src/com/serotonin/mango/rt/dataImage/PointValueTime.java,com.serotonin.mango.rt.dataImage.PointValueTime,"equalValues/2[com.serotonin.mango.rt.dataImage.PointValueTime,com.serotonin.mango.rt.dataImage.PointValueTime]",false,41,2,3,1,2,5,2,5,3,0,2,2,1,1,0,4,0,0,0,0,0,0,1,0,0,0,10,9,0,false
